Nationalität,Name,Spezialität,Verletzungen,Gelbe Karten,Alter,Tag(e),TSI,Gehalt,Wochen im Verein,Erfahrung,Führungsqualitäten,Form,Kondition,Torwart,Verteidigung,Spielaufbau,Flügelspiel,Passspiel,Torschuss,Standards,Deadline,Höchstes Gebot,Bieten,
Italien,Paolo Garello,,,,22,79,1940,370,5,3,6,5,7,1,5,6,7,6,2,4,16.10.2024 22:11,,1000,
Italien,Massimiliano Marco Oneto,,,,24,31,66190,14790,31,5,6,7,8,1,3,14,6,9,5,4,16.10.2024 22:12,Quiñones,928200,
Deutschland,Yannic Eisenreich,unberechenbar,,1,28,94,148890,20760,12,7,6,6,7,1,12,14,12,3,5,2,16.10.2024 22:12,,4000000,
Niederlande,Igor van Eijk,Kopfballstärke,,,24,55,51400,12940,119,3,5,6,8,1,8,13,6,5,5,3,16.10.2024 22:12,,1250000,
Niederlande,Terence Daans,unberechenbar,,,27,101,10750,3510,37,3,5,2,8,1,3,11,6,8,6,7,16.10.2024 22:13,,500000,
Brasilien,Waldemário Figueroa,,,,22,69,54470,9030,19,4,5,5,7,1,2,7,5,10,13,2,16.10.2024 22:13,,2975000,
Portugal,Eusébio Oliveira,,,1,25,61,11310,1110,76,5,5,7,7,1,3,8,4,6,9,3,16.10.2024 22:13,Lazzariners,98940,
Belgien,Tristen Mengal,durchsetzungsstark,,,24,69,960,400,89,2,6,4,7,1,3,7,5,4,5,8,16.10.2024 22:13,,1000,
Deutschland,Thomas Ulm,unberechenbar,,1,27,46,55970,20530,30,5,5,7,6,1,4,6,4,4,14,2,16.10.2024 22:13,,2000000,
Polen,Henryk Buśkiewicz,Ballzauberer,,1,24,95,30610,5020,17,4,5,6,7,1,4,11,6,8,7,4,16.10.2024 22:14,,590000,
Belgien,Giovanni Van Thielen,unberechenbar,,1,22,89,86540,13960,13,4,6,7,8,1,5,6,10,6,14,3,16.10.2024 22:14,,4490000,
Spanien,Akutain Igartua,,,,22,25,30620,10830,28,3,6,6,8,1,3,4,4,3,13,5,16.10.2024 22:15,,1140000,
Marokko,Seifeddine Hamadani,,,,22,92,93950,21200,17,3,5,5,7,1,4,6,5,10,15,2,16.10.2024 22:15,,4390000,
Deutschland,Joost Huebner,,,,22,86,29200,5890,3,3,5,4,8,1,7,5,14,3,3,1,16.10.2024 22:16,Nordhessen Football-Turtle,1749000,
Äthiopien,Melaku Kidane Beyene,durchsetzungsstark,,,24,43,103600,30280,19,4,6,8,7,1,16,4,2,7,2,2,16.10.2024 22:16,,1500000,
Rumänien,Luca Todiraş,schnell,,,24,60,246790,50550,120,8,5,7,7,1,6,8,5,11,17,6,16.10.2024 22:17,,8500000,
Marokko,Mahmoud Tlemcani,,,,22,93,31900,6710,22,2,6,5,7,1,3,12,4,9,7,2,16.10.2024 22:17,,990000,
Italien,Vincenzo Palagi,,,,25,51,137330,31100,51,6,6,5,7,1,6,15,3,12,3,1,16.10.2024 22:18,Mandragola II,2590000,
Belgien,Hugo Verrycken,unberechenbar,,,23,100,330,250,78,3,5,6,7,1,5,4,4,4,4,8,16.10.2024 22:18,,1,
Belgien,Adnan Kırdar,robust,,,23,46,72030,8350,91,3,6,6,7,1,4,3,3,12,13,1,16.10.2024 22:18,RicominciAmo,1402000,
