Nationalität,Name,Spezialität,Verletzungen,Gelbe Karten,Alter,Tag(e),TSI,Gehalt,Wochen im Verein,Erfahrung,Führungsqualitäten,Form,Kondition,Torwart,Verteidigung,Spielaufbau,Flügelspiel,Passspiel,Torschuss,Standards,Deadline,Höchstes Gebot,Bieten,
Marokko,Adil Jomani,,,1,23,42,154510,43420,24,7,6,5,8,1,6,16,10,5,6,2,19.10.2024 13:09,,4010000,
England,Spencer Lutchmiah,,,,28,76,194930,14690,17,8,5,7,6,1,13,5,14,13,3,2,19.10.2024 13:09,,2648000,
Polen,Dariusz Głogowski,,,,22,106,550,270,63,2,5,4,7,1,4,4,6,5,3,3,19.10.2024 13:09,,1000,
Argentinien,Lautaro Carlos Balvuena,,,,28,11,10500,1150,145,3,5,8,7,1,5,7,6,10,4,3,19.10.2024 13:09,,350000,
Chile,Raúl Escobar,,,,25,30,2540,430,14,2,6,3,6,1,5,6,3,6,7,14,19.10.2024 13:10,,1000,
Ozeanien,Stuart Elford,Kopfballstärke,,2,26,31,301800,67140,13,7,6,6,7,1,3,13,6,2,18,3,19.10.2024 13:10,,11250000,
Niederlande,Cor van de Westelaken,durchsetzungsstark,,,24,32,560,360,103,2,5,3,3,1,5,7,5,3,4,3,19.10.2024 13:10,,1000,
Belgien,Yves Coppens,Ballzauberer,,1,24,48,65360,19190,6,4,7,7,7,1,14,5,6,5,3,3,19.10.2024 13:10,** LIVERPOOL FC**,1428000,
Irland,Mark McDermott,,,,28,20,71140,12650,5,7,5,6,6,1,12,13,5,7,3,6,19.10.2024 13:10,,1080000,
Deutschland,Nickolas Obergfell,,,,26,105,163060,23860,68,8,5,6,7,1,4,4,13,9,15,1,19.10.2024 13:10,,5200000,
England,Paul Saywell,Kopfballstärke,,,22,25,610,400,64,2,5,3,5,1,7,3,4,5,3,5,19.10.2024 13:11,,0,
Polen,Szymon Bejda,,,,22,9,850,330,4,3,6,4,7,1,5,7,4,4,2,4,19.10.2024 13:11,,250,
Aserbaidschan,Müzəffər Mircavadov,,,,25,111,158090,19690,7,6,5,5,7,1,3,12,4,11,14,4,19.10.2024 13:11,,3990000,
Andorra,Vladimiro Leiria,,,1,23,66,75750,7090,53,4,6,6,7,1,3,11,6,14,4,1,19.10.2024 13:12,,1000000,
Rumänien,Petrişor Diculescu,,,,25,40,75250,16550,3,3,5,4,7,1,14,5,4,3,13,1,19.10.2024 13:13,,1750000,
Tschechien,Ivan Opekar,,,,26,85,313090,56950,125,7,5,7,7,1,5,10,19,8,2,7,19.10.2024 13:13,,4300000,
Rumänien,Cristian Cristea,,,,23,14,10030,1870,81,2,6,4,8,1,5,10,7,6,3,1,19.10.2024 13:13,Hospitalenc,154020,
Rumänien,Vali Axinescu,,,2,22,28,1570,410,54,3,5,5,7,1,3,5,5,4,7,6,19.10.2024 13:13,,5000,
Portugal,Cristiano da Silva,Kopfballstärke,,,24,17,64320,29960,105,6,5,6,7,1,16,3,3,3,4,3,19.10.2024 13:14,F.K. Karacal,1246440,
Argentinien,Egidio Picchiarello,,,,26,87,19080,4790,17,2,6,7,8,1,4,4,13,5,3,2,19.10.2024 13:15,,1323000,
Ungarn,Pál Pintér,,,,24,63,7000,1670,27,4,5,1,7,1,6,9,3,9,6,1,19.10.2024 13:15,,275000,
Norwegen,Adrian Størvold,,,1,23,54,123350,13390,103,5,6,5,7,1,13,13,5,10,3,1,19.10.2024 13:15,SalutS,3445560,
