Nationalität,Name,Spezialität,Verletzungen,Gelbe Karten,Alter,Tag(e),TSI,Gehalt,Wochen im Verein,Erfahrung,Führungsqualitäten,Form,Kondition,Torwart,Verteidigung,Spielaufbau,Flügelspiel,Passspiel,Torschuss,Standards,Deadline,Höchstes Gebot,Bieten,
Belgien,Alaeddine Balafrej,,,,24,80,17130,2050,9,3,5,7,8,1,11,6,4,7,2,3,16.10.2024 22:19,,888000,
Italien,Stefano Carpentieri,,,,23,9,74590,6690,17,5,6,6,8,1,10,11,13,2,2,4,16.10.2024 22:19,,4000000,
Frankreich,Ben Kerbrat,Kopfballstärke,,,22,2,4100,490,68,2,7,6,8,1,4,7,3,7,6,1,16.10.2024 22:20,BSK - Bgd,12000,
Tunesien,Sami Ennaifer,Kopfballstärke,,,25,80,23200,8150,7,4,5,5,8,1,3,7,4,5,12,11,16.10.2024 22:22,,1000000,
England,Raymond Pettit,,,,28,44,20,250,5,7,6,5,7,1,3,2,4,2,3,3,16.10.2024 22:23,,150,
USA,Josh Simonton,,,,26,96,96300,15410,90,6,5,6,8,1,3,14,5,6,10,4,16.10.2024 22:23,,2000000,
Ungarn,Dávid Novodomszki,,,,22,75,81850,17370,2,3,5,6,7,1,4,2,7,8,15,1,16.10.2024 22:24,,2790000,
Finnland,Alpo Lius,unberechenbar,,1,28,48,24890,3090,39,5,7,6,7,1,11,7,4,9,5,1,16.10.2024 22:24,LeSud,300000,
Russland,Yuriy Schegolkov,unberechenbar,,,26,76,209340,17280,13,7,5,7,7,1,4,13,4,13,13,4,16.10.2024 22:25,,4750000,
Argentinien,Vlad Zaulov,,,1,27,54,184000,50080,49,7,5,8,7,1,17,6,4,7,3,3,16.10.2024 22:25,,1890000,
Rumänien,Florin Chelaru,,,1,23,74,74540,14710,26,3,5,7,8,1,14,5,3,8,4,2,16.10.2024 22:26,,2155005,
Kolumbien,Waldo Galeano,Ballzauberer,,,22,74,90690,17940,33,4,6,6,8,2,4,3,10,7,15,1,16.10.2024 22:28,,4875000,
Italien,Jonata Graffi,durchsetzungsstark,,1,22,92,88100,13760,31,4,5,6,8,2,2,4,9,8,15,2,16.10.2024 22:29,,4600000,
Schweiz,Udo Quaresma,Ballzauberer,,,22,107,116130,23290,20,5,5,4,7,1,13,3,16,5,3,1,16.10.2024 22:29,,8850000,
Tschechien,Jaromír Kešel,unberechenbar,,,23,13,65860,13600,61,4,5,6,7,1,14,10,4,5,5,3,16.10.2024 22:30,,3050000,
Schweden,Roger Mayo,,,,25,37,176660,21530,15,5,5,7,7,1,5,4,11,12,14,1,16.10.2024 22:30,,5700000,
Mosambik,Eugénio Rosa Domingos Moreira,,,,25,53,70140,5610,58,5,5,5,7,1,5,10,3,12,11,1,16.10.2024 22:31,,2700000,
Bulgarien,Stiliyan Geranov,,,,27,80,87610,8390,59,5,5,6,7,1,9,8,14,10,3,4,16.10.2024 22:31,,2250000,
Spanien,Xoaquín Cao-Cordido,Ballzauberer,,,28,43,7580,3990,151,5,5,4,7,1,4,11,2,4,4,1,16.10.2024 22:33,,150000,
Malta,Pietru Pawl Cachia Zammit,,,,24,104,102700,32080,9,4,6,6,8,1,4,16,3,7,3,4,16.10.2024 22:34,,1800000,
Bangladesch,Morshed Ahmad,,,1,22,109,23440,2450,71,4,6,5,8,1,12,5,7,6,6,2,16.10.2024 22:34,,2000000,
Portugal,Vítor Moniz,Kopfballstärke,,,22,95,7970,1720,6,3,5,7,7,1,4,10,3,3,2,5,16.10.2024 22:35,,70000,
Bangladesch,Humza Muhammed,Ballzauberer,,,23,65,141940,48890,44,5,5,7,8,1,4,16,4,7,5,13,16.10.2024 22:36,DIAFANA_KRINA,1158000,
Schweiz,Sébastian Couchot,,,,24,98,2200,610,46,3,6,4,7,1,5,5,9,4,4,7,16.10.2024 22:36,FC Onanisani,60000,
