Nationalität,Name,Spezialität,Verletzungen,Gelbe Karten,Alter,Tag(e),TSI,Gehalt,Wochen im Verein,Erfahrung,Führungsqualitäten,Form,Kondition,Torwart,Verteidigung,Spielaufbau,Flügelspiel,Passspiel,Torschuss,Standards,Deadline,Höchstes Gebot,Bieten,
Lettland,Anatol' Rymar,robust,,,28,21,60680,24410,6,6,5,6,7,1,3,4,3,8,15,4,21.10.2024 15:10,,22500000,
Spanien,Zacaries Alongina,,,,28,24,90680,8710,108,6,5,8,6,1,13,9,4,11,8,5,21.10.2024 15:10,FC Xispita,1377000,
Norwegen,Leo Dahlen,mannschaftsdienlich,,,27,50,167610,47430,98,8,5,6,7,1,8,16,5,9,6,11,21.10.2024 15:11,,3250000,
Italien,Cosimo Mellucci,durchsetzungsstark,,1,27,35,21220,7030,21,2,6,5,7,1,13,4,4,4,2,5,21.10.2024 15:11,,750000,
Montenegro,Ronald Horak,,,,24,10,1540,370,22,3,5,3,5,1,5,6,7,6,3,5,21.10.2024 15:12,,25000,
Türkei,Erkan Ütük,Kopfballstärke,,1,23,51,108120,12500,14,4,6,7,8,1,4,13,14,7,5,2,21.10.2024 15:12,,4675000,
Belgien,Kas Horré,,,,23,48,410,310,73,2,5,3,3,1,6,4,3,4,5,2,21.10.2024 15:13,,1000,
Deutschland,Maksim Levchuk,unberechenbar,,,27,5,91440,14200,15,6,5,7,7,1,13,12,7,2,4,15,21.10.2024 15:13,Bleekerstift Kicker,1690140,
USA,Alexzander Mullett,,,,27,92,381670,53770,19,7,5,6,7,1,14,17,2,11,3,4,21.10.2024 15:14,,5500000,
Argentinien,Jorge Bordalás,Ballzauberer,,1,22,7,87320,12350,32,3,6,7,7,1,3,13,2,13,3,2,21.10.2024 15:15,,3000000,
Niederlande,IJsbrand Heuker,schnell,,,26,83,40530,2190,34,4,5,7,7,1,11,6,10,9,3,8,21.10.2024 15:15,,1625000,
Brasilien,Otacílio Boniolo,,,,24,29,1520,430,4,4,5,6,7,1,6,7,3,3,2,4,21.10.2024 15:16,,0,
Israel,Hany Abd El Kader,schnell,,,25,109,302940,34980,74,6,6,7,8,1,4,14,17,8,4,6,21.10.2024 15:17,,7499000,
Deutschland,Fritz Schutzbach,,,1,26,107,172400,26920,153,5,6,6,7,1,3,3,18,10,7,2,21.10.2024 15:17,,2333000,
Chile,Martin Silva,,,,22,62,34710,10450,57,4,5,7,8,13,10,1,2,1,2,17,21.10.2024 15:18,NDSD United,4162001,
Polen,Patryk Ciepły,unberechenbar,,,23,2,57660,13120,83,3,5,7,7,1,5,6,15,8,3,2,21.10.2024 15:18,,3225000,
Finnland,Jasu Wegelius,,,,27,19,1760,550,61,5,5,2,7,1,7,7,2,4,1,5,21.10.2024 15:18,,1000,
Schweiz,Hansjürg Kappi,,,,23,68,18440,2590,72,3,6,7,8,1,12,6,2,3,3,2,21.10.2024 15:18,New sensation,408000,
Brasilien,Mariano Bergmann,,,,25,92,1330,310,4,4,5,5,7,1,2,5,3,6,6,3,21.10.2024 15:19,,0,
Spanien,Antonio Izcariz,durchsetzungsstark,,,27,7,11320,1260,90,6,6,6,7,1,9,3,5,7,8,5,21.10.2024 15:20,,750000,
Spanien,Pablo Atanes,,,,24,73,1910,770,101,4,5,3,5,1,4,8,4,5,5,20,21.10.2024 15:22,FC SHEN,5000,
Ungarn,Damjan Banović,,,,25,79,6170,590,95,4,5,6,7,1,6,3,6,7,8,5,21.10.2024 15:22,,800000,
