Nationalität,Name,Spezialität,Verletzungen,Gelbe Karten,Alter,Tag(e),TSI,Gehalt,Wochen im Verein,Erfahrung,Führungsqualitäten,Form,Kondition,Torwart,Verteidigung,Spielaufbau,Flügelspiel,Passspiel,Torschuss,Standards,Deadline,Höchstes Gebot,Bieten,
Argentinien,Genaro Alvo,,,,27,71,5620,630,25,6,6,5,7,1,6,6,4,8,6,9,19.10.2024 12:41,Farul CTA,25000,
Barbados,Dorian Sterling,,,,27,58,4250,1110,135,6,5,6,7,1,9,5,4,2,3,3,19.10.2024 12:41,Erasitexnes fc 2,27000,
Portugal,Miguel Faria,Kopfballstärke,,,23,24,126390,40110,53,5,5,7,7,1,17,6,3,3,3,3,19.10.2024 12:41,ASIFut,3000000,
Niederlande,Moreno Rijkaard,durchsetzungsstark,,,28,87,2670,1040,1,5,5,7,6,2,9,2,3,4,3,1,19.10.2024 12:41,Erasitexnes fc 2,9000,
Japan,建斗 (Kento) 輿水 (Koshimizu),unberechenbar,,1,27,68,168360,40830,0,9,5,6,7,1,7,6,2,10,16,4,19.10.2024 12:44,HolyGarlic,2891000,
Litauen,Žydrūnas Skvernys,,,,23,14,73190,8710,4,3,6,8,8,1,6,12,7,7,10,4,19.10.2024 12:46,,2990000,
Deutschland,Diethard Trappl,,,,22,11,2960,810,61,2,5,5,7,2,5,8,2,5,4,1,19.10.2024 12:46,GAIS around town,1000,
Portugal,Gregório Piedade,,,,24,52,970,390,52,3,6,3,8,1,5,5,6,4,7,2,19.10.2024 12:47,,10000,
Chile,Víctor Valdeboys,,,,25,95,770,310,3,4,5,5,7,1,3,4,4,6,6,3,19.10.2024 12:47,,0,
Italien,Giuseppe Scorziello,Ballzauberer,,,24,3,33780,22210,81,4,6,2,7,1,2,5,4,4,14,4,19.10.2024 12:48,Frischauf Zitronenfalter,1295000,
Andorra,Xavi Quirch,schnell,,,22,96,2140,360,77,2,5,6,6,1,3,6,5,7,5,4,19.10.2024 12:48,,0,
Slowenien,Jalen Miloševič,,,,25,2,49210,12410,104,4,5,6,8,1,14,4,7,6,3,1,19.10.2024 12:49,,1300000,
Italien,Quirino Panarello,unberechenbar,,,28,62,280600,60060,37,8,6,8,7,1,11,17,6,11,4,2,19.10.2024 12:50,,3750000,
Italien,Vittorio Bazeur,,,,24,40,116290,43370,101,4,5,5,7,1,5,17,3,7,4,2,19.10.2024 12:51,,1599999,
Frankreich,Davide Blondy,Kopfballstärke,,,25,78,177800,23970,24,5,6,7,7,1,2,7,10,12,15,2,19.10.2024 12:53,,6000000,
Polen,Michał Misztela,Ballzauberer,,2,23,16,101770,26960,72,4,5,8,7,1,4,8,4,6,15,3,19.10.2024 12:55,,4000000,
Rumänien,Titu Ban,,,,24,11,23040,2910,1,4,5,6,8,1,3,7,6,8,11,11,19.10.2024 12:56,,1250000,
Italien,Alex Micelli,Ballzauberer,,,22,13,92150,16160,81,4,5,8,8,1,3,6,9,8,14,3,19.10.2024 12:57,Becchini,4090200,
Uruguay,Natalio Olaizola,unberechenbar,,,28,11,30480,3640,108,6,5,5,6,1,5,3,10,11,9,5,19.10.2024 12:57,,4475000,
Italien,Marcus Tolck,schnell,,,24,107,60890,3900,127,6,5,8,8,1,8,7,12,9,7,3,19.10.2024 12:57,AS MARVEL,2893000,
São Tomé und Príncipe,Arlindo Granjeiro,,,,25,9,67620,14170,57,5,5,5,7,1,14,10,5,6,2,2,19.10.2024 12:58,,2000000,
Italien,Daniele Salizzoni,,,,25,87,150550,18770,140,7,5,7,7,1,5,6,10,8,15,3,19.10.2024 12:58,DeepDarkBlue,2909000,
